id,recommendation,level,contributing_factor,cod,urbanicity,race_eth,timing
1,"Providers should refer patients with mental health conditions to wraparound services for care coordination to help with appointments, medications, and navigating systems.",Provider,Mental health,Mental health conditions,Urban,NHW,Pregnant at time of death
2,"Providers should complete screening for substance use disorder for all patients, and patients should be provided assistance and support in treatment of addiction.",Provider,Assessment,Mental health conditions,Urban,NHW,Pregnant at time of death
3,Providers should use Periscope or telehealth consultation services when patients present with mental health concerns to initiate treatment when possible.,Provider,Policy/Procedures,Mental health conditions,Rural,NHW,43 days- 1 year after pregnancy
4,Providers should educate patients during pregnancy and the postpartum period on the risks of substance use following decreased use which may lead to decreased tolerance.,Provider,Substance Use Disorder,Mental health conditions,Urban,NHB,43 days- 1 year after pregnancy
5,Providers should receive training on motivational interviewing to better understand and address concerns that patients with mental health conditions or substance use disorder may have about treatment options.,Provider,Clinical Skill/Quality of Care,Mental health conditions,Rural,NH_AIAN,43 days- 1 year after pregnancy
6,Providers should include overdose prevention planning as part of discharge planning for everyone with a substance use disorder.,Provider,Substance Use Disorder,Mental health conditions,Rural,Hispanic,Pregnant at time of death
7,"Providers who diagnose pregnancy in someone with severe mental health disorders, substance use history, and/or a history of suicide should refer to or consult with a perinatal psychiatrist before stopping or changing medications",Provider,Mental health,Mental health conditions,Rural,Hispanic,Pregnant at time of death
8,Providers should implement group prenatal care to increase social connectivity for women with substance use disorders.,Provider,Social Support/Isolation,Mental health conditions,Rural,Hispanic,Pregnant at time of death
9,Providers should screen all patients for intimate partner violence at every visit and offer immediate referrals and resources if necessary,Provider,Assessment,Mental health conditions,Urban,NHW,Pregnant at time of death
10,"Providers should screen for mental health and substance use at all clinic visits, regardless of indication of visit.",Provider,Assessment,Mental health conditions,Urban,NHW,Pregnant at time of death
11,Providers should refer patients with mental health conditions to appropriate psychiatric resources and ensure that the referral is completed.,Provider,Referral,Mental health conditions,Urban,NHW,Pregnant at time of death
12,Providers should screen all patients for abuse and trauma during regular visits and provide referral to resources and wrap around services when necessary,Provider,Trauma,Mental health conditions,Urban,NH_Asian,Pregnant at time of death
13,"Facilities need to develop strategies to actively engage patients in need of substance use treatment, provide opportunities for treatment, and implement mechanisms for follow-up if patients do not attend treatment.",Facility,Policy/Procedures,Mental health conditions,Rural,NH_AIAN,43 days- 1 year after pregnancy
14,Facilities should assign social workers to patients who are high risk and have a history of trauma to help them in navigating care systems.,Facility,Continuity of Care/Care Coordination,Mental health conditions,Urban,NHB,43 days- 1 year after pregnancy
15,Primary and obstetric care clinics should implement integrated behavioral health for open access availability for triage within 24 hours of identified mental health concerns,Facility,Continuity of Care/Care Coordination,Mental health conditions,Urban,NHB,43 days- 1 year after pregnancy
16,Facilities for individuals with substance use disorder should screen for substances upon entrance.,Facility,Substance Use Disorder,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
17,Facilities need to have protocols for tracking down “no shows” and assist in coordinating appointments for all patients,Facility,Continuity of Care/Care Coordination,Mental health conditions,Rural,NH_HPI,43 days- 1 year after pregnancy
18,"Facilities should provide education to obstetric providers regarding substance use in pregnant, and postpartum patients, as well as encourage utilization of teleconsultation services to support obstetric providers in managing substance use disorders",Facility,Knowledge,Mental health conditions,Rural,NHW,43 days- 1 year after pregnancy
19,"Hospital and health care administrators should continue to explore ways to make individuals with substance use disorder comfortable in health care settings even before pregnancy, so that if they do become pregnant there will already be trust established",Facility,Substance Use Disorder,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
20,Hospital facilities should follow up with parents of children in the NICU for mental health supports for one year postpartum,Facility,Continuity of Care/Care Coordination,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
21,"Hospitals need to invest in relationships with local domestic violence shelters and resources so that patients can receive support immediately following their appointment, before they leave the facility",Facility,Violence,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
22,Facilities should offer overdose education and training on use of naloxone to patient and their support persons before discharge.,Facility,Substance Use Disorder,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
23,Health systems need to invest more in educating their health care providers in understanding substance use disorder and helping to decrease that stigma and judgment,System,Knowledge,Mental health conditions,Rural,NHW,43 days- 1 year after pregnancy
24,"Health systems should incorporate prenatal care coordination (PNCC) providers, community health workers, and others with the ability to establish strong, trusted relationships with patients as part of the care team",System,Continuity of Care/Care Coordination,Mental health conditions,Rural,NHW,43 days- 1 year after pregnancy
25,"Health care systems should explore alternative models of prenatal care for people with complex social situations, substance use disorder, and mental health disorders",System,Policy/Procedures,Mental health conditions,Rural,NHW,43 days- 1 year after pregnancy
26,Organizations providing peer treatment support or sponsorship should explore and prioritize alternative ways to keep people engaged with sponsors despite COVID-19 restrictions,System,Substance Use Disorder,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
27,Health care systems should consider paraprofessionals or community support systems such as peer-to-peer counseling to support patients as they enter substance use treatment programs.,System,Substance Use Disorder,Mental health conditions,Urban,Hispanic,43 days- 1 year after pregnancy
28,"Health systems and providers should offer immediate substance use treatment and services, including services specific to perinatal mental health and alcohol and other drug abuse (mother-baby units), to those that are identified as having substance use disorder and not just provide a referral.",System,Substance Use Disorder,Mental health conditions,Urban,Hispanic,7-42 days after end of pregnancy
29,"Health care systems should ensure facilities follow most recent American College of Obstetricians and Gynecologists’ Optimizing Postpartum Care recommendations on when to see patients postpartum, which includes the following: “All women should ideally have contact with a maternal care provider within the first three weeks postpartum. This initial assessment should be followed up with ongoing care as needed, concluding with a comprehensive postpartum visit no later than 12 weeks after birth.""",System,Clinical Skill/Quality of Care,Mental health conditions,Urban,Hispanic,7-42 days after end of pregnancy
30,Health systems need to expand intensive behavioral health outpatient programs for continuity of care after inpatient stabilization.,System,Mental health,Mental health conditions,Rural,Hispanic,7-42 days after end of pregnancy
31,"This initial assessment should be followed up with ongoing care as needed, concluding with a comprehensive postpartum visit no later than 12 weeks after birth",System,Continuity of Care/Care Coordination,Mental health conditions,Rural,Hispanic,7-42 days after end of pregnancy
32,Health systems need to expand intensive behavioral health outpatient programs for continuity of care after inpatient stabilization,System,Mental health,Mental health conditions,Rural,NH_Asian,7-42 days after end of pregnancy
33,Health systems need to invest more in educating their health care providers in understanding substance use disorder and helping to decrease that stigma and judgment,System,Substance Use Disorder,Mental health conditions,Rural,NH_AIAN,7-42 days after end of pregnancy
34,Medical and nursing schools and pipeline programs should work to increase diversity in health care workforce as an important factor for eliminating inequities in health care,System,Other,Mental health conditions,Urban,NHB,7-42 days after end of pregnancy
35,Policymakers (federal and state) need to support federally subsidized drug treatment that allows for persons to get immediate help if desired,System,Other,Mental health conditions,Urban,NHB,7-42 days after end of pregnancy
36,Public health systems should provide ongoing support for families of individuals with substance use and provide resources for family therapy,System,Substance Use Disorder,Mental health conditions,Urban,NHW,7-42 days after end of pregnancy
37,Research institutions should study how recovery living homes can better prevent overdoses at times when patients are not supposed to be alone,System,Substance Use Disorder,Mental health conditions,Urban,NH_HPI,7-42 days after end of pregnancy
38,Social services organizations should continue to advocate for mental health support and anger management for partners and perpetrators of violence,System,Outreach,Mental health conditions,Rural,NHW,1-6 days after end of pregnancy
39,"State government should work with community programs and other providers to ensure appropriate, quality, and timely placement in substance use treatment, including the availability of placement, for perinatal patients",System,Outreach,Mental health conditions,Urban,NHW,1-6 days after end of pregnancy
40,Governments need to invest in innovative housing solutions for pregnant and postpartum patients,System,Housing,Mental health conditions,Urban,NHW,1-6 days after end of pregnancy
41,Health systems should pay for and incorporate nurse home visits as a postpartum follow-up program,System,Outreach,Mental health conditions,Rural,NHW,1-6 days after end of pregnancy
42,The federal government should require and support paid family leave for at least 12 weeks postpartum,System,Other,Mental health conditions,Urban,NHW,43 days- 1 year after pregnancy
43,Substance use treatment programs should integrate families into the programs and provide them with skills to recognize misuse and provide assistance,System,Substance Use Disorder,Mental health conditions,Rural,NH_AIAN,43 days- 1 year after pregnancy
44,The state correctional system should provide enhanced resources for strong case management for individuals with mental health and substance use disorders when they’re back in the community,System,Other,Mental health conditions,Rural,NH_Asian,Pregnant at time of death
45,The Wisconsin Hospital Association and other statewide organizations should require hospitals to have social workers and mental health services available on weekends and holidays,System,Mental health,Mental health conditions,Rural,NH_Asian,Pregnant at time of death
46,"The Wisconsin State Legislature should immediately repeal 1997 Wis Act 292 and end forced substance use treatment, which deters people with substance use disorder from seeking perinatal care and may contribute to overdoses and maternal deaths",System,Substance Use Disorder,Mental health conditions,Rural,NHW,Pregnant at time of death
47,Law enforcement agencies should assist individuals with safety measures to protect them from abusive partners when a safety risk is identified,System,Law Enforcement,Mental health conditions,Urban,NHW,Pregnant at time of death
48,"Communities should connect patients with inadequate social support to resources, such as support groups and social services.",Community,Social Support/Isolation,Mental health conditions,Urban,NHW,7-42 days after end of pregnancy
49,Schools should provide curriculum addressing violence prevention alongside other counseling classes and health classes throughout childhood education. This should include healing from adverse childhood experiences (trauma),Community,Other,Mental health conditions,Urban,Hispanic,7-42 days after end of pregnancy
50,Communities should amplify public health campaigns for friends and family to recognize signs of suicide and how to connect with mental health emergency services.,Community,Mental health,Mental health conditions,Urban,Hispanic,7-42 days after end of pregnancy
51,Community organizations and providers working with individuals with substance use disorder and their families should provide education on lacing of drugs with other substances.,Community,Substance Use Disorder,Mental health conditions,Rural,NHB,7-42 days after end of pregnancy
52,"Providers should educate patients with chronic heart disease and obesity about warning signs and symptoms of heart disease and pulmonary embolism (for example, severe chest pain, shortness of breath) and when to call 911 or present to emergency room in the patient’s preferred language and in a culturally relevant manner",Provider,Chronic Conditions,Cardiovascular Conditions,Rural,NHB,Pregnant at time of death
53,Health care providers should continue to stress the importance of managing chronic conditions before pregnancy,Provider,Chronic Conditions,Cardiovascular Conditions,Rural,NHB,Pregnant at time of death
54,"Primary care and obstetric providers should discuss preconception planning with all patients, including those with a history of chronic medical illness and/ or a history of preeclampsia in previous pregnancies",Provider,Chronic Conditions,Cardiovascular Conditions,Rural,NHW,Pregnant at time of death
55,Providers should always arrange for in_x0002_person postpartum visits for high-risk patients or as soon as possible if abnormal findings (such as high blood pressure) are encountered during televisits,Provider,Other,Cardiovascular Conditions,Urban,NH_AIAN,Pregnant at time of death
56,Providers should offer telehealth as an option when patients have transportation issues or other barriers that may prevent them from accessing care,Provider,Other,Cardiovascular Conditions,Urban,NH_Asian,Pregnant at time of death
57,"Providers should educate patients with chronic heart disease and obesity about warning signs and symptoms of heart disease and pulmonary embolism (for example, severe chest pain, shortness of breath) and when to call 911 or present to emergency room in the patient’s preferred language and in a culturally relevant manner",Provider,Chronic Conditions,Cardiovascular Conditions,Urban,NH_Asian,Day of delivery
58,"Primary care, nurse midwives, and other obstetric providers should refer all pregnant patients with history of cardiac disease to maternal fetal medicine immediately",Provider,Referral,Cardiovascular Conditions,Urban,NHW,Day of delivery
59,"Providers should follow ACOG recommendations for treating patients with obesity and cardiac history, including considering an early epidural to avoid pushing for an extended period of time",Provider,Policy/Procedures,Cardiovascular Conditions,Urban,NHW,Day of delivery
60,"Hospitals should have systematic processes in place for acute and aggressive management of severe hypertension during pregnancy (for example, participate in state Perinatal Quality Collaborative (PQC) around hypertension)",Facility,Policy/Procedures,Cardiovascular Conditions,Urban,NHW,Day of delivery
