date,resp_ed_visits,pct_positive
2023-01-01,227,21.6
2023-01-02,210,23.9
2023-01-03,228,23.0
2023-01-04,248,22.9
2023-01-05,234,24.3
2023-01-06,236,23.2
2023-01-07,218,23.1
2023-01-08,229,21.6
2023-01-09,230,21.2
2023-01-10,232,23.0
2023-01-11,242,24.6
2023-01-12,244,20.8
2023-01-13,241,20.4
2023-01-14,214,23.2
2023-01-15,230,24.7
2023-01-16,234,22.7
2023-01-17,251,24.2
2023-01-18,228,25.0
2023-01-19,244,21.6
2023-01-20,240,23.2
2023-01-21,222,20.8
2023-01-22,238,23.6
2023-01-23,220,25.4
2023-01-24,229,20.7
2023-01-25,243,23.7
2023-01-26,229,23.8
2023-01-27,234,22.9
2023-01-28,229,20.4
2023-01-29,224,23.8
2023-01-30,236,23.0
2023-01-31,223,21.1
2023-02-01,224,19.2
2023-02-02,223,21.4
2023-02-03,226,22.4
2023-02-04,224,19.6
2023-02-05,204,22.6
2023-02-06,250,23.2
2023-02-07,210,21.9
2023-02-08,232,20.8
2023-02-09,242,24.6
2023-02-10,228,20.8
2023-02-11,208,17.1
2023-02-12,210,20.0
2023-02-13,228,21.8
2023-02-14,213,20.2
2023-02-15,216,22.1
2023-02-16,209,18.6
2023-02-17,237,19.5
2023-02-18,211,22.6
2023-02-19,182,20.5
2023-02-20,187,16.9
2023-02-21,218,18.9
2023-02-22,216,18.0
2023-02-23,214,21.0
2023-02-24,205,19.4
2023-02-25,188,18.6
2023-02-26,209,17.9
2023-02-27,201,17.5
2023-02-28,200,17.0
2023-03-01,201,18.5
2023-03-02,208,19.7
2023-03-03,203,20.3
2023-03-04,198,17.6
2023-03-05,192,17.3
2023-03-06,194,16.2
2023-03-07,194,17.4
2023-03-08,205,17.7
2023-03-09,193,15.9
2023-03-10,189,16.5
2023-03-11,183,16.1
2023-03-12,178,14.6
2023-03-13,196,16.4
2023-03-14,195,16.1
2023-03-15,188,16.6
2023-03-16,200,15.4
2023-03-17,179,13.4
2023-03-18,191,16.9
2023-03-19,182,12.1
2023-03-20,160,14.1
2023-03-21,171,12.7
2023-03-22,177,14.2
2023-03-23,175,13.5
2023-03-24,187,15.0
2023-03-25,160,12.4
2023-03-26,163,13.5
2023-03-27,165,8.7
2023-03-28,174,8.7
2023-03-29,173,11.0
2023-03-30,166,9.3
2023-03-31,183,9.4
2023-04-01,146,12.6
2023-04-02,139,9.1
2023-04-03,165,8.8
2023-04-04,171,10.6
2023-04-05,154,7.0
2023-04-06,163,3.2
2023-04-07,138,6.8
2023-04-08,135,7.0
2023-04-09,134,7.7
2023-04-10,134,7.5
2023-04-11,138,7.8
2023-04-12,132,10.9
2023-04-13,149,5.1
2023-04-14,141,4.8
2023-04-15,128,8.5
2023-04-16,128,6.7
2023-04-17,132,4.3
2023-04-18,140,5.8
2023-04-19,134,6.7
2023-04-20,126,3.1
2023-04-21,126,2.8
2023-04-22,100,3.6
2023-04-23,117,4.0
2023-04-24,129,3.3
2023-04-25,121,3.5
2023-04-26,136,2.5
2023-04-27,126,1.2
2023-04-28,124,4.6
2023-04-29,109,1.4
2023-04-30,96,2.3
2023-05-01,104,2.3
2023-05-02,117,4.5
2023-05-03,127,3.6
2023-05-04,92,1.4
2023-05-05,110,0.5
